Group,Species or closers taxonomic level,Conventional (prev.),Conventional (rel. abund.),Organic (prev.),Organic (rel. abund.),C. annuum (prev.),C. annuum (rel. abund.),C. baccatum (prev.),C. baccatum (rel. abund.),C. chinense (prev.),C. chinense (rel. abund.),Hybrid A (prev.),Hybrid A (rel. abund.),Hybrid B (prev.),Hybrid B (rel. abund.),Bola (prev.),Bola (rel. abund.),Cali. Wond. Red (prev.),Cali. Wond. Red (rel. abund.),Piquillo (prev.),Piquillo (rel. abund.),Serrano (prev.),Serrano (rel. abund.),Blank (prev.),Blank (rel. abund.),"Simonin et al. (2020, prev.)","Simonin et al. (2020, rel. abund.)"
Bacteria,Unid_Thermomicrobiales222,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Thermomicrobiales223,32.65%,0.10%,25.53%,0.10%,28.89%,0.08%,NA,NA,33.33%,0.14%,27.27%,0.10%,50.00%,0.28%,36.36%,0.19%,27.27%,0.01%,27.27%,0.10%,25.00%,0.01%,NA,NA,NA,NA
Bacteria,Unid_Thermomicrobiales226,NA,NA,42.55%,0.19%,NA,NA,41.67%,0.22%,41.67%,0.12%,36.36%,0.12%,40.00%,0.21%,27.27%,0.08%,NA,NA,27.27%,0.10%,33.33%,0.14%,NA,NA,NA,NA
Bacteria,Unid_Thermomicrobiales227,55.10%,1.37%,59.57%,1.33%,55.56%,1.31%,50.00%,1.06%,50.00%,1.23%,54.55%,1.19%,60.00%,1.63%,54.55%,1.24%,54.55%,1.20%,63.64%,1.34%,50.00%,1.07%,100.00%,1.71%,NA,NA
Bacteria,Unid_Thermomicrobiales229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Thermoplasmata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.09%,NA,NA,27.27%,0.09%,NA,NA,NA,NA,33.33%,0.11%,NA,NA,NA,NA
Bacteria,Unid_Vicinamibacteraceae_0,55.10%,2.29%,57.45%,2.67%,53.33%,2.30%,50.00%,1.69%,50.00%,2.41%,54.55%,1.79%,60.00%,2.94%,54.55%,2.57%,54.55%,1.48%,54.55%,2.42%,50.00%,2.10%,100.00%,4.82%,NA,NA
Bacteria,Unid_Vicinamibacteraceae_45,34.69%,0.40%,48.94%,0.54%,44.44%,0.45%,41.67%,0.49%,25.00%,0.16%,27.27%,0.30%,50.00%,0.42%,54.55%,0.53%,54.55%,0.55%,27.27%,0.23%,41.67%,0.38%,66.67%,1.24%,NA,NA
Bacteria,Unid_Vicinamibacteraceae39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.24%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Vicinamibacterales,55.10%,2.35%,57.45%,1.84%,53.33%,2.03%,50.00%,1.56%,50.00%,1.74%,54.55%,1.50%,60.00%,2.59%,54.55%,1.65%,54.55%,2.45%,54.55%,1.47%,50.00%,1.98%,100.00%,3.82%,NA,NA
Bacteria,Unid_Vicinamibacterales32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Vicinamibacterales34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.24%,NA,NA
Bacteria,Unid_Vicinamibacterales35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.06%,NA,NA,NA,NA,33.33%,0.15%,NA,NA
Bacteria,Unid_Vicinamibacterales36,55.10%,0.48%,51.06%,0.52%,51.11%,0.50%,50.00%,0.44%,41.67%,0.29%,54.55%,0.39%,60.00%,0.49%,45.45%,0.51%,54.55%,0.20%,54.55%,0.49%,50.00%,0.64%,83.33%,1.02%,NA,NA
Bacteria,Unid_Vicinamibacteria,NA,NA,25.53%,0.10%,26.67%,0.09%,NA,NA,33.33%,0.08%,NA,NA,NA,NA,36.36%,0.13%,27.27%,0.10%,27.27%,0.04%,NA,NA,66.67%,0.25%,NA,NA
Bacteria,Unid_Xanthobacteraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,2.19%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Xanthobacteraceae513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.40%,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.38%,33.33%,0.79%,NA,NA
Bacteria,Unid_Xanthomonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.05%,NA,NA,NA,NA,27.27%,0.07%,NA,NA,NA,NA,NA,NA
Bacteria,Vampirovibrionales_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.04%,NA,NA,NA,NA
Fungi,Acremonium_pilosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.21%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Alternaria_alternata,29.41%,0.52%,NA,NA,27.66%,0.25%,NA,NA,50.00%,1.05%,33.33%,0.03%,NA,NA,33.33%,0.62%,33.33%,0.17%,NA,NA,27.27%,0.08%,NA,NA,NA,NA
Fungi,Aspergillus_awamori,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.05%,NA,NA,NA,NA,NA,NA,32.00%,0.04%
Fungi,Aspergillus_heterocaryoticus,25.49%,0.72%,NA,NA,25.53%,0.89%,25.00%,0.09%,25.00%,0.48%,NA,NA,33.33%,1.26%,NA,NA,41.67%,2.73%,25.00%,0.10%,NA,NA,NA,NA,32.00%,0.04%
Fungi,Aspergillus_keveii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.11%,NA,NA,NA,NA,NA,NA,NA,NA,32.00%,0.04%
Fungi,Aspergillus_ochraceopetaliformis,47.06%,0.80%,26.00%,0.09%,36.17%,0.23%,25.00%,0.04%,50.00%,0.31%,41.67%,0.15%,41.67%,2.54%,33.33%,0.12%,58.33%,0.54%,25.00%,0.12%,27.27%,0.06%,NA,NA,32.00%,0.04%
Fungi,Aspergillus_ochraceus,NA,NA,NA,NA,NA,NA,NA,NA,41.67%,0.23%,25.00%,0.05%,NA,NA,33.33%,0.05%,25.00%,0.15%,NA,NA,NA,NA,NA,NA,32.00%,0.04%
Fungi,Aspergillus_sp,56.86%,1.13%,40.00%,0.26%,42.55%,0.30%,58.33%,2.83%,58.33%,0.51%,41.67%,0.32%,50.00%,0.75%,50.00%,0.53%,41.67%,0.32%,41.67%,0.19%,36.36%,0.13%,66.67%,0.53%,32.00%,0.04%
Fungi,Aspergillus_sulphureoviridis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.07%,NA,NA,NA,NA,32.00%,0.04%
Fungi,Aspergillus_tamarii,NA,NA,NA,NA,NA,NA,NA,NA,41.67%,0.24%,NA,NA,25.00%,0.11%,25.00%,0.05%,25.00%,0.14%,NA,NA,27.27%,0.09%,NA,NA,32.00%,0.04%
Fungi,Cephalotrichum_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.09%,NA,NA,NA,NA,33.33%,0.15%,NA,NA
Fungi,Cercophora_sp,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.50%,NA,NA,NA,NA,NA,NA,25.00%,0.09%,NA,NA,27.27%,0.12%,NA,NA,NA,NA
Fungi,Chaetomium_sp,58.82%,7.29%,58.00%,5.85%,57.45%,5.86%,50.00%,3.16%,58.33%,12.63%,50.00%,3.89%,58.33%,6.87%,58.33%,6.89%,75.00%,7.34%,50.00%,5.33%,45.45%,3.30%,100.00%,10.49%,60.00%,0.59%
Fungi,Chaetomium_sp6,58.82%,13.58%,56.00%,14.42%,51.06%,11.72%,58.33%,12.67%,66.67%,19.56%,50.00%,10.23%,58.33%,15.31%,50.00%,11.56%,50.00%,8.91%,50.00%,12.61%,54.55%,13.62%,100.00%,24.92%,60.00%,0.59%
Fungi,Cladosporium_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.67%,3.22%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Clonostachys_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.09%,NA,NA
Fungi,Colletotrichum_karsti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67%,1.07%,NA,NA
Fungi,Ctenomyces_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.16%,NA,NA,NA,NA
Fungi,Cystobasidium_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,16.93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Dactylonectria_alcacerensis,NA,NA,28.00%,0.17%,NA,NA,25.00%,0.21%,25.00%,0.18%,25.00%,0.20%,NA,NA,33.33%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Dichotomophthora_lutea,NA,NA,NA,NA,NA,NA,25.00%,0.06%,NA,NA,25.00%,0.10%,NA,NA,NA,NA,33.33%,0.09%,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Emericellopsis_sp,54.90%,2.54%,52.00%,3.40%,53.19%,3.50%,41.67%,3.48%,66.67%,2.35%,50.00%,1.13%,50.00%,2.97%,58.33%,5.65%,58.33%,3.15%,50.00%,3.63%,45.45%,1.14%,66.67%,1.52%,NA,NA
Fungi,Fusarium_proliferatum,60.78%,19.01%,64.00%,17.99%,53.19%,14.86%,66.67%,16.79%,83.33%,22.83%,58.33%,22.33%,66.67%,25.02%,58.33%,12.00%,50.00%,16.82%,50.00%,14.12%,54.55%,16.14%,83.33%,13.94%,"82%, 38%","1.69%, 0.44%"
Fungi,Fusarium_solani,62.75%,6.15%,62.00%,3.99%,59.57%,5.51%,58.33%,6.76%,75.00%,6.41%,50.00%,1.19%,58.33%,3.09%,50.00%,2.78%,75.00%,9.11%,58.33%,8.31%,54.55%,1.33%,100.00%,6.37%,"82%, 38%","1.69%, 0.44%"
Fungi,Macrophomina_phaseolina,35.29%,17.06%,32.00%,17.43%,34.04%,16.78%,41.67%,25.00%,25.00%,0.67%,41.67%,33.70%,41.67%,19.73%,50.00%,18.38%,41.67%,5.34%,25.00%,10.21%,NA,NA,NA,NA,NA,NA
Fungi,Microascus_brevicaulis,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.15%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Microascus_sp,37.25%,0.52%,26.00%,2.57%,38.30%,2.68%,41.67%,0.06%,33.33%,0.97%,NA,NA,25.00%,1.26%,41.67%,1.92%,25.00%,0.28%,25.00%,0.58%,63.64%,9.49%,NA,NA,NA,NA
Fungi,Mortierella_sp,NA,NA,NA,NA,NA,NA,33.33%,0.08%,NA,NA,25.00%,0.09%,NA,0.34%,NA,NA,NA,NA,33.33%,0.39%,NA,NA,50.00%,0.59%,85.00%,4.24%
Fungi,Myrothecium_roridum,29.41%,0.09%,NA,NA,25.53%,0.13%,NA,NA,33.33%,0.09%,25.00%,0.20%,NA,0.49%,25.00%,0.27%,25.00%,0.10%,NA,NA,36.36%,0.11%,NA,NA,NA,NA
Fungi,Penicillium_fuscoglaucum,39.22%,0.04%,30.00%,0.20%,38.30%,0.12%,NA,NA,33.33%,0.04%,25.00%,0.01%,33.33%,0.34%,50.00%,0.17%,41.67%,0.23%,33.33%,0.03%,27.27%,0.02%,66.67%,0.12%,NA,NA
Fungi,Penicillium_sp,31.37%,0.18%,28.00%,0.35%,29.79%,0.28%,25.00%,0.22%,25.00%,0.06%,33.33%,0.19%,33.33%,0.49%,33.33%,0.14%,41.67%,0.67%,NA,NA,27.27%,0.09%,33.33%,0.10%,NA,NA
Fungi,Phaeoacremonium_sp,54.90%,3.75%,56.00%,3.59%,51.06%,2.76%,50.00%,1.63%,66.67%,6.03%,50.00%,3.31%,50.00%,3.40%,50.00%,2.11%,50.00%,1.98%,50.00%,2.64%,54.55%,4.32%,100.00%,10.49%,NA,NA
Fungi,Pleiocarpon_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Polyschema_larviformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.35%,NA,NA
Fungi,Preussia_terricola,NA,NA,NA,NA,NA,NA,25.00%,0.09%,NA,NA,25.00%,0.25%,25.00%,0.13%,NA,NA,NA,NA,NA,NA,27.27%,0.16%,NA,NA,NA,NA
Fungi,Retroconis_fusiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,2.53%,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Rhizoctonia_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,NA,NA,NA,NA
Fungi,Rhizophlyctis_rosea,NA,NA,NA,NA,NA,NA,25.00%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.13%,NA,NA,43.00%,0.25%
Fungi,Schizothecium_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.66%,NA,NA
Fungi,Trichocladium_arxii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.46%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,1.67%,NA,NA
Fungi,Unid_Ceratobasidiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.05%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Unid_Chaetomiaceae,62.75%,9.64%,54.00%,5.90%,59.57%,9.41%,50.00%,3.90%,66.67%,7.88%,50.00%,6.45%,50.00%,4.85%,58.33%,6.91%,66.67%,14.00%,50.00%,4.11%,63.64%,10.94%,83.33%,9.63%,30.00%,0.03%
Fungi,Unid_Hypocreales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,8.38%,50.00%,0.32%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi,Unid_Mortierellaceae,25.49%,0.11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.09%,25.00%,0.08%,NA,NA,NA,NA,27.27%,0.16%,33.33%,0.14%,NA,NA
Fungi,Unid_Mortierellaceae8,54.90%,1.68%,60.00%,5.82%,63.83%,6.53%,50.00%,0.77%,41.67%,0.61%,50.00%,0.83%,50.00%,1.06%,58.33%,0.78%,66.67%,7.76%,66.67%,12.04%,63.64%,5.32%,83.33%,2.74%,NA,NA
Fungi,Unid_Mortierellales,31.37%,0.30%,44.00%,0.47%,38.30%,0.32%,NA,NA,41.67%,0.36%,33.33%,0.22%,41.67%,0.17%,50.00%,0.49%,41.67%,0.29%,NA,NA,45.45%,0.39%,66.67%,1.80%,NA,NA
Fungi,Unid_Nectriaceae,56.86%,5.19%,54.00%,3.61%,59.57%,5.81%,58.33%,7.16%,50.00%,1.45%,50.00%,1.77%,50.00%,2.86%,58.33%,7.86%,66.67%,3.07%,58.33%,9.83%,54.55%,1.68%,50.00%,1.67%,NA,NA
Fungi,Unid_Pyronemataceae,47.06%,2.75%,52.00%,2.30%,51.06%,2.11%,41.67%,3.55%,50.00%,4.59%,50.00%,1.48%,41.67%,1.24%,50.00%,1.42%,50.00%,3.86%,50.00%,1.45%,54.55%,1.62%,66.67%,3.92%,NA,NA
Fungi,Unid_Rozellomycota,39.22%,1.00%,36.00%,0.53%,36.17%,0.54%,41.67%,0.12%,33.33%,0.09%,41.67%,0.21%,25.00%,1.25%,50.00%,0.82%,25.00%,0.85%,33.33%,0.21%,36.36%,0.21%,66.67%,4.83%,NA,NA
Fungi,Unid_Sordariaceae,54.90%,2.05%,52.00%,3.07%,53.19%,3.01%,58.33%,2.89%,58.33%,1.40%,50.00%,2.65%,41.67%,1.42%,50.00%,1.23%,66.67%,3.11%,41.67%,5.69%,54.55%,1.83%,66.67%,2.22%,NA,NA
Fungi,Unid_Sordariomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,6.25%,NA,NA,NA,NA,NA,NA,"50%, 45%, 42%, 40%, 27%","0.25%, 0.37%, 0.13%, 1.15%, 0.08%"
Fungi,Unid_Sporormiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
